Launch Conditions:,,,,,,
Ball Speed (ft/s),Launch Angle (degrees),Spin Rate (rps),,Environmental Conditions:,,
Ball-13-PP.csv,254,10,52,7.52,284.2,294.7
Ball-13-PP.csv,254,9,52,7.34,282.8,295.8
Ball-13-PP.csv,254,11,52,7.68,285.2,293.5
Ball-13-PP.csv,270,11,37,7.42,310.5,325.7
Ball-13-PP.csv,270,10,37,7.21,307.8,325.9
Ball-13-PP.csv,270,12,37,7.62,312.7,325.2
Ball-13-PP.csv,270,11,33,7.16,309,327.2
Ball-13-PP.csv,270,10,33,6.94,305.6,326.9
Ball-13-PP.csv,270,12,33,7.37,311.8,327.1
Ball-13-PP.csv,270,11,47,7.95,308,316.2
Ball-13-PP.csv,270,10,47,7.77,306.7,317.2
Ball-13-PP.csv,270,12,47,8.12,308.9,315
Ball-14-PH.csv,254,10,42,7.17,289.5,305.7
Ball-14-PH.csv,254,9,42,6.97,287.2,306.4
Ball-14-PH.csv,254,11,42,7.35,291.4,304.9
Ball-14-PH.csv,254,10,37,6.89,289.9,310.7
Ball-14-PH.csv,254,9,37,6.66,286.5,310.8
Ball-14-PH.csv,254,11,37,7.1,292.6,310.2
Ball-14-PH.csv,254,10,52,7.51,282.1,291.5
Ball-14-PH.csv,254,9,52,7.36,280.9,292.4
Ball-14-PH.csv,254,11,52,7.66,283.1,290.7
Ball-14-PH.csv,270,11,37,7.54,313.2,327.2
Ball-14-PH.csv,270,10,37,7.34,310.9,327.8
Ball-14-PH.csv,270,12,37,7.73,315,326.4
Ball-14-PH.csv,270,11,33,7.29,312.8,330.3
Ball-14-PH.csv,270,10,33,7.07,309.7,330.4
Ball-14-PH.csv,270,12,33,7.5,315.4,329.8
Ball-14-PH.csv,270,11,47,7.98,307.3,314.5
Ball-14-PH.csv,270,10,47,7.82,306.2,315.4
Ball-14-PH.csv,270,12,47,8.14,308,313.5
Ball-14-PP.csv,254,10,42,7.07,290.8,308
Ball-14-PP.csv,254,9,42,6.87,288.3,308.6
Ball-14-PP.csv,254,11,42,7.26,292.8,307.1
Ball-14-PP.csv,254,10,37,6.79,290.5,312
Ball-14-PP.csv,254,9,37,6.57,287,312
Ball-14-PP.csv,254,11,37,7,293.4,311.7
Ball-14-PP.csv,254,10,52,7.45,284.4,294.2
Ball-14-PP.csv,254,9,52,7.29,283.3,295.4
Ball-14-PP.csv,254,11,52,7.59,285.2,293
Ball-14-PP.csv,270,11,37,7.45,314.2,328.7
Ball-14-PP.csv,270,10,37,7.25,311.7,329.2
Ball-14-PP.csv,270,12,37,7.64,316.1,327.9
Ball-14-PP.csv,270,11,33,7.2,313.4,331.1
Ball-14-PP.csv,270,10,33,6.99,310.2,331.1
Ball-14-PP.csv,270,12,33,7.41,316,330.8
Ball-14-PP.csv,270,11,47,7.9,309.2,316.8
Ball-14-PP.csv,270,10,47,7.74,308.3,318
Ball-14-PP.csv,270,12,47,8.05,309.9,315.5
Ball-15-PH.csv,254,10,42,6.91,289.1,310.6
Ball-15-PH.csv,254,9,42,6.68,285.5,310.5
Ball-15-PH.csv,254,11,42,7.13,292.1,310.4
Ball-15-PH.csv,254,10,37,6.58,286.4,312.2
Ball-15-PH.csv,254,9,37,6.33,281.8,311.2
Ball-15-PH.csv,254,11,37,6.82,290.3,312.7
Ball-15-PH.csv,254,10,52,7.45,287.6,300.9
Ball-15-PH.csv,254,9,52,7.25,285.7,301.8
Ball-15-PH.csv,254,11,52,7.64,289.1,299.8
Ball-15-PH.csv,270,11,37,7.27,311.3,329.9
Ball-15-PH.csv,270,10,37,7.04,307.9,329.7
Ball-15-PH.csv,270,12,37,7.49,314.2,329.8
Ball-15-PH.csv,270,11,33,6.98,308.8,330.6
Ball-15-PH.csv,270,10,33,6.74,304.6,329.7
Ball-15-PH.csv,270,12,33,7.22,312.4,331
Ball-15-PH.csv,270,11,47,7.87,311.2,321.9
Ball-15-PH.csv,270,10,47,7.67,309.5,322.9
Ball-15-PH.csv,270,12,47,8.06,312.5,320.8
Ball-15-PP.csv,254,10,42,7.03,288,306.4
Ball-15-PP.csv,254,9,42,6.82,285.1,306.6
Ball-15-PP.csv,254,11,42,7.23,290.4,305.8
Ball-15-PP.csv,254,10,37,6.73,286.6,309.2
Ball-15-PP.csv,254,9,37,6.51,282.8,308.7
Ball-15-PP.csv,254,11,37,6.95,289.8,309.2
Ball-15-PP.csv,254,10,52,7.48,284.1,294.9
Ball-15-PP.csv,254,9,52,7.31,282.6,295.9
Ball-15-PP.csv,254,11,52,7.65,285.1,293.8
Ball-15-PP.csv,270,11,37,7.4,310.4,325.9
Ball-15-PP.csv,270,10,37,7.19,307.6,326.1
Ball-15-PP.csv,270,12,37,7.6,312.7,325.5
Ball-15-PP.csv,270,11,33,7.14,308.9,327.5
Ball-15-PP.csv,270,10,33,6.92,305.4,327.2
Ball-15-PP.csv,270,12,33,7.36,311.8,327.5
Ball-15-PP.csv,270,11,47,7.92,307.8,316.2
Ball-15-PP.csv,270,10,47,7.75,306.6,317.3
Ball-15-PP.csv,270,12,47,8.09,308.7,315.1
Ball-16-PH.csv,254,10,42,7.04,289,308.6
Ball-16-PH.csv,254,9,42,6.81,285.8,308.7
Ball-16-PH.csv,254,11,42,7.26,291.7,308.2
Ball-16-PH.csv,254,10,37,6.72,287.1,310.8
Ball-16-PH.csv,254,9,37,6.47,282.9,310.2
